item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Balaya,6/24/2025,1000,1060,
Paraw,6/24/2025,1300,1700,
Salaya,6/24/2025,650,940,
Hurulla,6/24/2025,,,
Linna,6/24/2025,780,960,
Beans,6/23/2025,650,800,
Carrot,6/23/2025,300,600,
Cabbage,6/23/2025,220,400,
Tomato,6/23/2025,220,480,
Brinjal,6/23/2025,400,600,
Pumpkin,6/23/2025,120,200,
Snake gourd,6/23/2025,150,360,
Green Chilli,6/23/2025,500,800,
Lime,6/23/2025,200,600,
Red Onion (Local),6/23/2025,375,,
Red Onion (lmp),6/23/2025,344,520,
Big Onion (Local),6/23/2025,,,
Big Onion (Imp),6/23/2025,94,150,
Potato (Local),6/23/2025,317,380,
Potato (Imp),6/23/2025,154,220,
Dried Chilli (Imp),6/23/2025,600,760,
Coconut,6/23/2025,150,230,
Coconut oil,6/23/2025,853,894,
Red Dhal,6/23/2025,250,280,
Sugar,6/23/2025,215,230,
Egg,6/23/2025,32,34,
Katta (Imp),6/23/2025,1600,3000,
Sprat (Imp),6/23/2025,850,,
Banana (Sour),6/23/2025,80,160,
Papaw,6/23/2025,80,180,
Pineapple,6/23/2025,,480,
Apple (Imp),6/23/2025,,250,
Orange (Imp),6/23/2025,,260,
Samba,6/23/2025,235,,
Nadu,6/23/2025,225,230,no
Kekulu (White),6/23/2025,213,220,
Kekulu (Red),6/23/2025,213,220,
Ponni Samba (Imp),6/23/2025,228,,
Nadu,6/23/2025,210,220,no
Kekulu (White) (Imp),6/23/2025,208,210,
Kelawalla,6/23/2025,1300,2520,
Thalapath,6/23/2025,,,
Balaya,6/23/2025,,1060,
Paraw,6/23/2025,1300,1700,
Salaya,6/23/2025,750,940,
Hurulla,6/23/2025,,,
Linna,6/23/2025,630,880,
Beans,6/20/2025,600,800,
Carrot,6/20/2025,350,700,
Cabbage,6/20/2025,250,600,
Tomato,6/20/2025,200,480,
Brinjal,6/20/2025,350,700,
Pumpkin,6/20/2025,120,200,
Snake gourd,6/20/2025,130,400,
Green Chilli,6/20/2025,500,1000,
Lime,6/20/2025,200,600,
Red Onion (Local),6/20/2025,370,,
Red Onion (lmp),6/20/2025,350,520,
Big Onion (Local),6/20/2025,,,
Big Onion (Imp),6/20/2025,87,150,
Potato (Local),6/20/2025,320,440,
Potato (Imp),6/20/2025,158,200,
Dried Chilli (Imp),6/20/2025,575,760,
Coconut,6/20/2025,160,200,
Coconut oil,6/20/2025,853,894,
Red Dhal,6/20/2025,250,280,
Sugar,6/20/2025,215,240,
Egg,6/20/2025,33,36,
Katta (Imp),6/20/2025,1600,2800,
Sprat (Imp),6/20/2025,850,1600,
Banana (Sour),6/20/2025,80,160,
Papaw,6/20/2025,80,200,
Pineapple,6/20/2025,,550,
Apple (Imp),6/20/2025,,250,
Orange (Imp),6/20/2025,,260,
Samba,6/20/2025,235,,
Nadu,6/20/2025,225,230,no
Kekulu (White),6/20/2025,215,220,
Kekulu (Red),6/20/2025,215,220,
Ponni Samba (Imp),6/20/2025,228,,
Nadu,6/20/2025,210,,no
Kekulu (White) (Imp),6/20/2025,208,210,
Kelawalla,6/20/2025,1500,2520,
Thalapath,6/20/2025,2100,2600,
Balaya,6/20/2025,1000,1300,
Paraw,6/20/2025,1500,1700,
Salaya,6/20/2025,600,780,
Hurulla,6/20/2025,1150,1460,
Linna,6/20/2025,820,1020,
Beans,6/19/2025,600,700,
Carrot,6/19/2025,350,600,
Cabbage,6/19/2025,300,480,
Tomato,6/19/2025,250,600,
Brinjal,6/19/2025,400,600,
Pumpkin,6/19/2025,120,240,
Snake gourd,6/19/2025,130,400,
